Start,End,BoredSleepy,Contempt,Sadness,Joy,Love,Anger,TenseStress,Fear,Surprise
1,128,0.30465947224023,0,0,0,0,0,0,0,0
129,256,0.553166872620631,0,0,0,0,0,0,0,0
257,384,0.467035687224541,0,0,0,0,0,0,0,0
385,512,0.547597606669498,0,0,0,0,0,0,0,0
513,640,0.584802320015019,0,0,0,0,0,0,0,0
641,768,0.532131869984369,0,0,0,0,0,0,0,0
769,896,0.454614375488992,0,0,0,0,0,0,0,0
897,1024,0.576426055887091,0,0,0,0,0,0,0,0
1025,1152,0.553962722459609,0,0,0,0,0,0,0,0
1153,1280,0.00530860107282131,0,0,0,0,0,0,0,0
1281,1408,0.588973341367112,0,0,0,0,0,0,0,0
1409,1536,0.376001044775307,0,0,0,0,0,0,0,0
1537,1664,0.504538755134955,0,0,0,0,0,0,0,0
1665,1792,0.0649493325368567,0,0,0,0,0,0,0,0
1793,1920,0.318368065806416,0,0,0,0,0,0,0,0
1921,2048,0.562266807480244,0,0,0,0,0,0,0,0
2049,2176,0.598988992034399,0,0,0,0,0,0,0,0
2177,2304,0.923738081831003,0,0,0,0,0,0,0,0
2305,2432,0.462247332889162,0,0,0,0,0,0,0,0
2433,2560,0.706710289179158,0,0,0,0,0,0,0,0
2561,2688,0.60074259499231,0,0,0,0,0,0,0,0
2689,2816,0.803997367535692,0,0,0,0,0,0,0,0
2817,2944,0.601412007753002,0,0,0,0,0,0,0,0
2945,3072,0.321827249836037,0,0,0,0,0,0,0,0
3073,3200,0.368264250243714,0,0,0,0,0,0,0,0
3201,3328,0.647092295302632,0,0,0,0,0,0,0,0
3329,3456,0.663333929548672,0,0,0,0,0,0,0,0
3457,3584,0.364425569954594,0,0,0,0,0,0,0,0
3585,3712,0.275558892978186,0,0,0,0,0,0,0,0
3713,3840,0.623377035424094,0,0,0,0,0,0,0,0
3841,3968,0.626027571083963,0,0,0,0,0,0,0,0
3969,4096,0.656274801115323,0,0,0,0,0,0,0,0
4097,4224,0.608365409746391,0,0,0,0,0,0,0,0
4225,4352,0.321981326442573,0,0,0,0,0,0,0,0
4353,4480,0.288309965913724,0,0,0,0,0,0,0,0
4481,4608,0,0,0,0,0,0,0,0,0
4609,4736,0.163271432104861,0,0,0,0,0,0,0,0
4737,4864,0.502885237278966,0,0,0,0,0,0,0,0
4865,4992,0.51565968958787,0,0,0,0,0,0,0,0
4993,5120,0.0101131116151746,0,0,0,0,0,0,0,0
5121,5248,0.167754632607126,0,0,0,0,0,0,0,0
5249,5376,0.485078086197306,0,0,0,0,0,0,0,0
5377,5504,0.237427928681415,0,0,0,0,0,0,0,0
5505,5632,0,0,0,0,0,0,0,0,0
5633,5760,0.303301389944887,0,0,0,0,0,0,0,0
5761,5888,0.308876725763189,0,0,0,0,0,0,0,0
5889,6016,0.59458093557205,0,0,0,0,0,0,0,0
6017,6144,0.520727093683513,0,0,0,0,0,0,0,0
6145,6272,0.564056229937976,0,0,0,0,0,0,0,0
6273,6400,0.263200459490585,0,0,0,0,0,0,0,0
6401,6528,0.264009973178145,0,0,0,0,0,0,0,0
6529,6656,0.481074578106197,0,0,0,0,0,0,0,0
6657,6784,0.158111948167028,0,0,0,0,0,0,0,0
6785,6912,0.268274149295251,0,0,0,0,0,0,0,0
6913,7040,0.476370772098515,0,0,0,0,0,0,0,0
7041,7168,0.423795484081014,0,0,0,0,0,0,0,0
7169,7296,0.538388964545791,0,0,0,0,0,0,0,0
7297,7424,0.580408253850166,0,0,0,0,0,0,0,0
7425,7552,0.861173661718329,0,0,0,0,0,0,0,0
7553,7680,0.691236727203134,0,0,0,0,0,0,0,0
7681,7808,0.677214763913421,0,0,0,0,0,0,0,0
7809,7936,0.126806238397433,0,0,0,0,0,0,0,0
7937,8064,0,0,0,0,0,0,0,0,0
8065,8192,0.58093413373753,0,0,0,0,0,0,0,0
8193,8320,0.297069106542649,0,0,0,0,0,0,0,0
8321,8448,0.392851177120655,0,0,0,0,0,0,0,0
8449,8576,0.524026502153152,0,0,0,0,0,0,0,0
8577,8704,0.707287563888829,0,0,0,0,0,0,0,0
8705,8832,0.522111672582267,0,0,0,0,0,0,0,0
8833,8960,0.588051131829158,0,0,0,0,0,0,0,0
8961,9088,0.735024185460181,0,0,0,0,0,0,0,0
9089,9216,0.277392917857895,0,0,0,0,0,0,0,0
9217,9344,0.259544322669949,0,0,0,0,0,0,0,0
9345,9472,0.571021711794187,0,0,0,0,0,0,0,0
9473,9600,0,0,0,0,0,0,0,0,0
9601,9728,0.687950518715328,0,0,0,0,0,0,0,0
9729,9856,0.485230374997957,0,0,0,0,0,0,0,0
9857,9984,0.242772288104743,0,0,0,0,0,0,0,0
9985,10112,0.310010010791501,0,0,0,0,0,0,0,0
10113,10240,0.464263341199319,0,0,0,0,0,0,0,0
10241,10368,0.209337495680361,0,0,0,0,0,0,0,0
10369,10496,0.195317773386109,0,0,0,0,0,0,0,0
