Start,End,BoredSleepy,Contempt,Sadness,Joy,Love,Anger,TenseStress,Fear,Surprise
1,128,0,0,0,0,0,0,0,0,0
129,256,0,0,0,0,0,0,0,0,0
257,384,0,0,0,0,0,0,0,0,0
385,512,0,0,0,0,0.879756641855323,0,0,0,0
513,640,0,0,0,0,0,0,0,0,0
641,768,0,0,0,0,0,0,0,0,0
769,896,0,0,0,0,0,0,0,0,0
897,1024,0,0,0,0,0,0,0,0,0
1025,1152,0,0,0.556087284374832,0,0,0,0,0,0
1153,1280,0,0,0.369976006743909,0,0,0,0,0,0
1281,1408,0,0,0,0,0,0,0,0,0
1409,1536,0,0,0,0,0,0,0,0,0
1537,1664,0,0,0,0,0,0,0,0,0
1665,1792,0,0,0,0,0,0,0,0,0
1793,1920,0,0,0,0,0,0,0,0,0
1921,2048,0,0,0,0,0,0,0,0,0
2049,2176,0,0,0.562888060152707,0,0,0,0,0,0
2177,2304,0,0,0,0,0,0,0,0,0
2305,2432,0,0,0,0,0,0,0,0,0
2433,2560,0,0,0,0,0,0,0,0,0
2561,2688,0,0,0,0,0,0,0,0,0
2689,2816,0.0229631233335374,0,0,0,0,0,0,0,0
2817,2944,0,0,0.348055161120348,0,0,0.202593118506203,0,0,0
2945,3072,0,0,0,0,0,0,0,0,0
3073,3200,0,0,0,0,0,0,0,0,0
3201,3328,0,0,0,0,0,0,0,0,0
3329,3456,0.133992356679552,0,0.133992356679552,0,0,0,0,0,0
3457,3584,0.179690278824594,0,0.525351282365442,0,0,0,0,0,0
3585,3712,0,0,0,0,0,0,0,0,0
3713,3840,0,0,0,0,0,0,0,0,0
3841,3968,0,0,0,0,0,0,0,0.00692186059673509,0
3969,4096,0,0,0,0,0,0,0,0,0
4097,4224,0,0,0,0,0,0,0,0,0
4225,4352,0,0,0,0,0,0,0,0,0
4353,4480,0,0,0,0,0,0,0,0,0
4481,4608,0,0,0,0,0,0,0,0,0
4609,4736,0,0,0,0,0,0,0,0,0
4737,4864,0,0,0,0,0,0,0,0,0
4865,4992,0.388402525081978,0,0.417819771559857,0,0,0,0,0,0
4993,5120,0,0,0,0,0,0,0,0,0
5121,5248,0,0,0.550384556507288,0,0,0,0,0,0
5249,5376,0,0,0,0,0,0,0,0,0
5377,5504,0,0,0,0,0,0,0,0,0
5505,5632,0,0,0,0,0,0,0,0,0
