Start,End,BoredSleepy,Contempt,Sadness,Joy,Love,Anger,TenseStress,Fear,Surprise
1,128,0.0957980085072504,0,0,0,0,0,0,0,0
129,256,0.51008738042109,0,0,0,0,0,0,0,0
257,384,0,0,0,0,0.677937085382636,0,0,0,0
385,512,0,0,0,0,0.319711333612109,0,0,0.260216499790918,0
513,640,0,0,0,0,0,0,0,0,0
641,768,0.15046490260937,0,0,0,0,0,0,0,0
769,896,0.512065620370219,0,0,0,0,0,0,0,0
897,1024,0.202223310079488,0,0,0,0,0,0,0,0
1025,1152,0.0912682013498674,0,0,0,0,0,0,0,0
1153,1280,1,0,0,0,0,0,0,0,0
1281,1408,0.938502977662444,0,0,0,0,0,0,0,0
1409,1536,0,0,0,0,0,0,0,0,0
1537,1664,0.589095681376262,0,0.0581782389678032,0,0,0,0,0,0
1665,1792,1,0,0,0,0,0,0,0,0
1793,1920,0,0,0,0,0,0,0,0,0
1921,2048,0,0,0,0,0,0,0,0,0
2049,2176,0,0,0,0,0,0,0,0,0
2177,2304,0.748481431576899,0,0,0,0,0,0,0,0
2305,2432,0.611780414250978,0,0,0,0,0,0,0,0
2433,2560,0,0,0,0,0,0,0,0,0
2561,2688,0,0,0,0,0,0,0,0,0
2689,2816,0.779644952173832,0,0,0,0,0,0,0,0
2817,2944,0,0,0.280897574113352,0,0,0,0,0,0
2945,3072,0,0,0,0,0,0,0,0,0
3073,3200,0.598980157159619,0,0.0507648821302861,0,0,0,0,0,0
3201,3328,0,0,0,0,0,0,0,0,0
3329,3456,0.47917201444955,0,0,0,0,0,0,0,0
3457,3584,0,0,0,0,0,0,0,0,0
3585,3712,0.960918626157245,0,0,0,0,0,0,0,0
3713,3840,0.118912673000223,0,0,0,0,0,0,0,0
3841,3968,0.525802873856689,0,0,0,0,0,0,0,0
3969,4096,0.4768772805819,0,0,0,0,0,0,0,0
4097,4224,0,0,0,0,0,0,0,0,0
4225,4352,0.2155616350263,0,0.338328773730275,0,0,0,0,0,0
4353,4480,0.548838360370032,0,0.0883712297224756,0,0,0,0,0,0
4481,4608,0.696917677850778,0,0,0,0,0,0,0,0
4609,4736,0.659465390701513,0,0.00540095697386528,0,0,0,0,0,0
4737,4864,0,0,0,0,0,0,0,0,0
4865,4992,0.880512268871448,0,0,0,0,0,0,0,0
4993,5120,0.711835136463565,0,0,0,0,0,0,0,0
5121,5248,0.13922534847819,0,0,0,0,0,0,0,0
5249,5376,0.497421906548576,0,0,0,0,0,0,0,0
5377,5504,1,0,0,0,0,0,0,0,0
5505,5632,0.517165211639176,0,0,0,0,0,0,0,0
5633,5760,0,0,0,0,0,0,0,0,0
5761,5888,0.0979079654653015,0,0,0,0,0,0,0,0
5889,6016,0,0,0.752738968488089,0,0,0,0,0,0
6017,6144,0,0,0,0,0,0,0,0,0
6145,6272,0,0,0,0,0,0,0,0,0
6273,6400,0,0,0.642832044934338,0,0,0,0,0,0
6401,6528,0.656449003117915,0,0,0,0,0,0,0,0
6529,6656,1,0,0,0,0,0,0,0,0
6657,6784,0.152304057122013,0,0.38577195715849,0,0,0,0,0,0
6785,6912,0.556440168030369,0,0,0,0,0,0,0,0
6913,7040,1,0,0,0,0,0,0,0,0
7041,7168,0.0133428931326104,0,0,0,0,0,0,0,0
7169,7296,0.593733009102742,0,0,0,0,0,0,0,0
7297,7424,0.0616419274541143,0,0,0,0,0,0,0,0
7425,7552,0.267622124265302,0,0.0864679806967569,0,0,0,0,0,0
7553,7680,0,0,0.239682557924262,0,0,0,0,0,0
7681,7808,0.191854905106372,0,0,0,0,0,0,0,0
7809,7936,0,0,0,0,0.735107203470934,0,0,0,0
7937,8064,0,0,0,0,0.0284966574650558,0,0,0,0
8065,8192,0.441609129166319,0,0,0,0,0,0,0,0
8193,8320,0.264937165021263,0,0.301297126234052,0,0,0,0,0,0
8321,8448,0,0,0,0,0,0,0,0,0
8449,8576,0.910957307045852,0,0,0,0,0,0,0,0
8577,8704,0,0,0,0,0,0,0,0,0
8705,8832,0.0854033893552986,0,0,0,0,0,0,0,0
8833,8960,0,0,0,0,0,0,0,0,0
8961,9088,0.582981382443486,0,0,0,0,0,0,0,0
9089,9216,0,0,0,0,0,0,0,0,0
9217,9344,0.0474946591885224,0,0,0,0,0,0,0,0
9345,9472,0,0,0.806486039346064,0,0,0,0,0,0
9473,9600,0.405886252528397,0,0.195585310603703,0,0,0,0,0,0
9601,9728,0.637668796269529,0,0,0,0,0,0,0,0
9729,9856,0,0,0,0,0,0,0,0,0
9857,9984,0.924905463721226,0,0,0,0,0,0,0,0
9985,10112,0.366096836363682,0,0.225427372727238,0,0,0,0,0,0
10113,10240,0.564158344459061,0,0,0,0,0,0,0,0
10241,10368,0.815937108566146,0,0,0,0,0,0,0,0
10369,10496,0.571922503252807,0,0,0,0,0,0,0,0
10497,10624,0.667054453800917,0,0,0,0,0,0,0,0
10625,10752,0,0,0,0,0,0,0,0,0
10753,10880,0.0275078851447586,0,0,0,0,0,0,0,0
10881,11008,0.548356403284225,0,0,0,0,0,0,0,0
11009,11136,0.398282398229098,0,0,0,0,0,0,0,0
11137,11264,0,0,0,0,0,0,0,0,0
11265,11392,0,0,0,0,0,0,0,0,0
11393,11520,0,0,0,0,0,0,0,0,0
11521,11648,0.646202133649803,0,0,0,0,0,0,0,0
11649,11776,0,0,0,0,0,0,0,0,0
11777,11904,0,0,0,0,0,0,0,0,0
11905,12032,0.537983269746629,0,0,0,0,0,0,0,0
12033,12160,0,0,0,0,0,0,0,0,0
12161,12288,0.233035714027756,0,0,0,0,0,0,0,0
12289,12416,0.554762996737028,0,0,0,0,0,0,0,0
12417,12544,0.19604566489852,0,0,0,0,0,0,0,0
12545,12672,0,0,0,0,0,0,0,0,0
12673,12800,0.105278756269907,0,0.0915546641174145,0,0,0,0,0,0
12801,12928,0,0,0,0,0,0,0,0,0
12929,13056,0.245943708122332,0,0,0,0,0,0,0,0
13057,13184,0,0,0,0,0.681579484720209,0,0,0,0
13185,13312,0,0,0,0,0,0,0,0,0
13313,13440,0,0,0,0,0,0,0,0,0
13441,13568,0.56189775982718,0,0,0,0,0,0,0,0
13569,13696,0,0,0,0,0,0,0,0,0
13697,13824,0,0,0,0,0,0,0,0,0
13825,13952,0,0,0,0,0,0,0,0,0
13953,14080,0,0,0,0,0,0,0,0,0
14081,14208,0.60464920597404,0,0,0,0,0,0,0,0
14209,14336,0.423599525193302,0,0.182300356105023,0,0,0,0,0,0
14337,14464,0.7125455679163,0,0,0,0,0,0,0,0
14465,14592,0.393186768692102,0,0,0,0,0,0,0,0
14593,14720,0,0,0,0,0,0,0,0,0
14721,14848,0.641766375269458,0,0,0,0,0,0,0,0
14849,14976,0.799819993162923,0,0,0,0,0,0,0,0
14977,15104,0,0,0,0,0,0,0,0,0
15105,15232,0,0,0,0,0,0,0,0,0
15233,15360,0,0,0.302275635843549,0,0,0,0,0,0
15361,15488,0.274051102314565,0,0,0,0,0,0,0,0
15489,15616,0.248840380189579,0,0,0,0,0,0,0,0
15617,15744,0,0,0,0,0,0,0,0,0
15745,15872,0.575826885076642,0,0,0,0,0,0,0,0
15873,16000,0,0,0,0,0,0,0,0.872435730649943,0
16001,16128,0,0,0,0,0,0,0,0,0
16129,16256,0.554512483257278,0,0,0,0,0,0,0,0
16257,16384,0.656395604275455,0,0,0,0,0,0,0,0
16385,16512,0.69345018828746,0,0,0,0,0,0,0,0
16513,16640,0.655835651073546,0,0,0,0,0,0,0,0
16641,16768,0,0,0,0,0,0,0,0,0
16769,16896,0,0,0,0,0,0,0,0,0
16897,17024,0,0,0,0,0,0,0,0,0
17025,17152,0.210617810422189,0,0,0,0,0,0,0,0
17153,17280,0.303274191506011,0,0,0,0,0,0,0,0
17281,17408,0,0,0,0,0,0,0,0,0
17409,17536,0.550257010919018,0,0,0,0,0,0,0,0
17537,17664,0.303523960617131,0,0,0,0,0,0,0,0
17665,17792,0,0,0,0,0,0,0,0,0
17793,17920,0,0,0,0,0,0,0,0,0
17921,18048,0,0,0.708210122014955,0,0,0,0,0,0
18049,18176,0,0,0,0,0,0,0,0,0
18177,18304,0,0,0,0,0,0,0,0,0
18305,18432,0.448450150554246,0,0,0,0,0,0,0,0
18433,18560,0.358764517811426,0,0,0,0,0,0,0,0
18561,18688,0.058861454366144,0,0.058861454366144,0,0,0,0,0,0
18689,18816,0.964755930691696,0,0,0,0,0,0,0,0
18817,18944,0,0,0,0,0,0,0,0,0
18945,19072,0,0,0,0,0,0,0,0,0
19073,19200,0,0,0,0,0,0,0,0,0
19201,19328,0.249556852075949,0,0,0,0,0,0,0,0
19329,19456,0,0,0,0,0,0,0,0,0
19457,19584,0.826673958697539,0,0,0,0,0,0,0,0
19585,19712,0.801693662451471,0,0,0,0,0,0,0,0
19713,19840,0.0638357206446183,0,0.452123209516536,0,0,0,0,0,0
19841,19968,0.219307474788377,0,0,0,0,0,0,0,0
19969,20096,0,0,0,0,0,0,0,0,0
20097,20224,0.611704559118129,0,0,0,0,0,0,0,0
20225,20352,0,0,0,0,0,0,0,0,0
20353,20480,0,0,0.820948658592733,0,0,0,0,0,0
